order_id,product_id,customer_id,order_date,order_total
1,P027,459,2024-06-15,265.86
2,P084,994,2023-09-03,280.1
3,P106,548,2023-07-06,932.17
4,P135,854,2023-01-15,53.05
5,P044,240,2024-04-28,262.47
6,P119,48,2024-04-08,681.45
7,P154,696,2024-07-06,975.71
8,P144,902,2024-05-12,806.13
9,P116,192,2024-06-11,960.92
10,P004,485,2022-12-26,277.38
11,P017,23,2023-03-22,192.9
12,P147,718,2023-10-26,569.31
13,P053,225,2022-08-13,982.94
14,P017,54,2022-10-09,783.66
15,P046,800,2023-05-15,830.79
16,P141,91,2024-02-28,802.33
17,P044,681,2023-09-16,385.87
18,P136,852,2024-02-19,363.96
19,P189,386,2023-07-03,905.37
20,P133,225,2023-10-12,707.33
21,P099,481,2023-10-14,620.03
22,P072,367,2023-11-10,88.41
23,P077,74,2022-11-18,209.14
24,P006,474,2023-01-14,52.58
25,P053,216,2023-12-25,909.82
26,P089,733,2023-11-13,123.12
27,P022,598,2023-05-17,187.31
28,P050,362,2023-07-06,977.78
29,P053,913,2023-04-03,290.05
30,P128,804,2024-07-11,520.27
31,P114,800,2023-10-31,308.42
32,P186,122,2022-10-28,567.94
33,P128,286,2023-08-19,486.61
34,P125,906,2022-08-12,158.54
35,P097,395,2022-10-23,426.46
36,P010,468,2023-08-26,290.26
37,P116,466,2023-12-23,235.69
38,P040,763,2023-02-27,446.7
39,P062,622,2023-09-08,538.65
40,P021,622,2023-11-07,948.35
41,P113,873,2023-05-18,175.67
42,P116,768,2023-08-06,296.16
43,P128,561,2022-12-25,543.85
44,P178,161,2024-04-19,58.19
45,P051,633,2024-04-07,571.22
46,P140,426,2022-10-30,665.33
47,P164,388,2023-09-03,741.63
48,P026,764,2024-01-21,156.16
49,P125,393,2023-05-24,408.4
50,P104,365,2023-10-18,751.17
51,P155,359,2023-06-03,439.53
52,P184,373,2022-09-28,920.45
53,P131,292,2022-12-24,815.17
54,P060,102,2023-01-03,380.93
55,P066,126,2023-08-28,567.38
56,P029,911,2022-12-21,783.49
57,P178,86,2023-11-20,465.92
58,P025,756,2022-09-20,525.78
59,P096,870,2022-09-15,363.82
60,P075,870,2024-07-10,786.67
61,P051,406,2023-06-07,672.0
62,P177,156,2024-04-25,90.96
63,P030,304,2023-11-21,176.37
64,P167,753,2024-06-01,994.56
65,P131,960,2024-05-28,571.49
66,P165,447,2022-10-14,535.46
67,P067,787,2023-06-13,836.4
68,P148,16,2024-01-11,627.05
69,P016,711,2023-03-13,524.48
70,P198,599,2022-08-19,811.51
71,P186,403,2023-04-06,223.3
72,P137,571,2023-09-24,263.11
73,P094,118,2024-04-15,204.6
74,P106,851,2024-02-01,814.2
75,P020,175,2023-06-14,615.82
76,P024,803,2024-03-09,364.66
77,P184,503,2024-02-05,284.92
78,P072,34,2023-05-29,316.82
79,P187,194,2023-10-25,664.3
80,P021,68,2023-12-21,882.53
81,P003,707,2023-09-23,576.89
82,P048,577,2023-10-17,723.91
83,P014,315,2022-11-28,457.58
84,P042,144,2024-07-09,433.78
85,P028,350,2024-01-08,914.63
86,P030,244,2023-06-07,480.07
87,P156,484,2024-07-20,453.85
88,P193,797,2023-05-16,778.82
89,P036,36,2024-06-20,391.14
90,P025,999,2022-10-05,408.45
91,P114,795,2023-01-23,471.29
92,P078,485,2022-10-24,779.97
93,P097,961,2022-11-08,302.02
94,P137,553,2023-08-08,284.8
95,P085,105,2022-12-14,368.82
96,P188,292,2023-12-29,576.35
97,P050,911,2023-11-28,536.48
98,P045,660,2023-04-23,541.62
99,P040,975,2023-12-06,833.94
100,P060,420,2023-01-13,309.51
101,P011,990,2022-08-07,333.78
102,P018,604,2024-02-17,329.24
103,P130,987,2024-05-02,642.98
104,P075,227,2024-05-24,615.31
105,P146,574,2022-08-01,835.47
106,P065,964,2024-05-21,223.24
107,P037,634,2023-10-27,122.07
108,P009,398,2022-10-01,304.66
109,P120,407,2024-01-05,665.49
110,P167,456,2022-12-07,713.52
111,P122,165,2022-10-04,118.56
112,P022,297,2022-08-26,579.27
113,P062,783,2023-01-03,89.42
114,P188,754,2023-07-25,998.3
115,P014,549,2024-01-14,298.08
116,P148,328,2023-08-27,139.57
117,P186,991,2023-01-30,397.96
118,P158,134,2023-11-27,760.18
119,P049,332,2023-05-29,452.74
120,P180,169,2023-03-29,184.39
121,P089,167,2023-06-03,209.1
122,P157,492,2023-05-01,70.44
123,P160,686,2023-04-09,819.7
124,P045,553,2022-11-19,557.95
125,P162,281,2023-05-20,227.87
126,P187,266,2024-02-09,906.91
127,P156,384,2024-03-06,293.25
128,P118,752,2023-06-05,251.4
129,P129,932,2024-06-12,802.72
130,P036,675,2023-11-15,874.72
131,P034,847,2023-04-09,124.74
132,P082,616,2023-07-18,633.65
133,P014,780,2023-04-12,315.7
134,P038,261,2022-08-01,171.31
135,P122,147,2024-07-12,718.77
136,P036,397,2024-07-11,145.97
137,P170,93,2022-11-23,381.03
138,P062,51,2024-04-15,403.98
139,P021,881,2023-12-31,325.88
140,P134,636,2024-07-27,697.38
141,P008,498,2022-07-31,58.95
142,P014,41,2023-11-11,687.46
143,P142,627,2023-11-15,478.38
144,P126,138,2023-10-09,680.24
145,P043,688,2022-08-29,140.06
146,P016,417,2024-07-30,720.99
147,P106,765,2023-08-31,999.81
148,P124,629,2023-04-02,213.77
149,P190,859,2023-04-09,786.95
150,P186,95,2023-04-09,155.9
151,P170,935,2024-04-10,463.77
152,P040,829,2023-10-10,901.74
153,P081,590,2023-06-11,326.04
154,P101,319,2024-02-17,902.95
155,P074,410,2024-04-29,505.94
156,P182,642,2023-11-25,853.89
157,P122,255,2024-04-28,518.7
158,P075,666,2024-01-23,950.99
159,P191,529,2024-07-18,876.73
160,P184,888,2024-01-29,577.1
161,P017,155,2022-10-31,334.08
162,P062,632,2022-09-10,359.57
163,P132,464,2023-11-13,591.68
164,P181,267,2023-06-18,242.26
165,P085,215,2024-06-10,700.3
166,P119,388,2024-01-14,691.71
167,P101,936,2022-11-05,355.4
168,P166,729,2023-11-03,210.44
169,P170,847,2023-06-14,876.01
170,P162,774,2022-08-22,172.8
171,P172,293,2022-12-05,949.0
172,P088,363,2023-05-25,149.81
173,P040,933,2022-09-17,826.95
174,P052,443,2023-03-10,462.4
175,P033,947,2022-11-02,547.98
176,P174,71,2023-06-05,212.69
177,P161,722,2022-10-12,66.86
178,P163,753,2024-05-22,434.25
179,P199,670,2022-12-04,80.7
180,P120,837,2023-01-29,903.26
181,P116,301,2023-09-03,314.59
182,P155,999,2023-02-13,169.2
183,P138,337,2024-07-18,387.62
184,P081,428,2024-01-21,986.9
185,P150,621,2023-09-19,988.75
186,P134,3,2023-04-23,688.79
187,P187,329,2023-01-12,456.44
188,P063,598,2024-02-04,671.69
189,P127,244,2024-07-23,937.73
190,P115,746,2022-10-11,198.81
191,P065,436,2023-07-11,699.11
192,P172,877,2022-12-13,418.36
193,P136,162,2023-02-27,109.48
194,P018,855,2023-12-20,842.93
195,P085,983,2024-03-28,597.0
196,P033,708,2023-05-22,661.65
197,P182,99,2024-01-16,886.61
198,P074,614,2023-07-04,182.81
199,P184,470,2022-11-10,269.07
200,P164,179,2023-11-11,571.63
201,P080,97,2024-02-12,905.87
202,P122,226,2023-07-27,366.64
203,P113,714,2022-11-22,159.18
204,P181,740,2023-02-21,720.26
205,P054,973,2023-07-11,576.05
206,P020,29,2024-02-24,181.79
207,P046,969,2024-04-02,434.45
208,P103,299,2024-02-23,261.71
209,P038,25,2024-02-28,299.88
210,P168,799,2023-07-31,212.16
211,P124,542,2023-08-18,56.73
212,P152,418,2024-06-24,349.49
213,P050,117,2023-07-18,984.45
214,P170,812,2023-05-28,884.6
215,P150,741,2023-06-10,994.54
216,P138,266,2023-08-10,756.75
217,P172,166,2024-05-07,857.87
218,P178,692,2023-07-17,424.01
219,P129,734,2023-11-03,748.81
220,P167,679,2024-05-19,892.34
221,P021,862,2023-11-02,233.31
222,P174,807,2024-01-07,545.88
223,P060,942,2024-02-14,652.85
224,P060,541,2023-07-22,230.7
225,P027,767,2022-09-22,399.7
226,P014,461,2024-07-16,293.3
227,P129,42,2022-09-30,653.07
228,P093,831,2023-04-11,525.59
229,P128,149,2023-10-02,358.54
230,P129,843,2022-10-02,137.75
231,P199,351,2023-06-14,850.53
232,P111,308,2022-10-11,701.04
233,P149,879,2023-06-12,601.6
234,P095,588,2024-04-27,762.63
235,P197,348,2023-11-16,700.18
236,P011,355,2023-08-05,867.49
237,P190,803,2023-09-15,722.52
238,P106,499,2023-10-09,411.54
239,P141,616,2023-10-02,240.06
240,P103,119,2022-11-15,338.59
241,P018,710,2022-12-03,197.76
242,P136,368,2023-04-30,997.26
243,P048,813,2024-05-31,864.52
244,P125,79,2022-08-09,893.19
245,P023,472,2023-09-08,587.7
246,P129,48,2024-02-21,629.52
247,P132,761,2024-04-02,326.26
248,P086,966,2023-03-24,324.2
249,P121,286,2022-12-30,663.02
250,P068,58,2022-12-15,961.13
251,P096,881,2022-09-26,270.75
252,P027,478,2024-04-06,725.73
253,P040,647,2024-04-15,961.98
254,P141,610,2023-01-03,343.8
255,P173,694,2023-12-01,272.31
256,P049,715,2022-10-23,208.64
257,P036,692,2023-01-30,827.53
258,P002,99,2024-02-04,778.89
259,P166,112,2022-11-02,217.17
260,P102,995,2023-09-24,328.33
261,P086,992,2022-10-10,212.43
262,P026,97,2022-12-20,99.67
263,P035,666,2024-05-11,500.87
264,P187,855,2024-04-26,615.12
265,P140,825,2024-01-09,562.59
266,P149,95,2024-02-06,996.71
267,P143,591,2023-06-01,536.66
268,P149,444,2023-01-19,466.86
